NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
BONOPOLIS,GO,696.388785046729,Alto Repasse
OEIRAS,PI,646.0080092861289,Baixo Repasse
JORDAO,AC,878.8420467185762,Alto Repasse
PLANALTO DA SERRA,MT,691.7139037433155,Alto Repasse
JUSSARA,PR,648.1654135338346,Baixo Repasse
LAGOA DO MATO,MA,688.5116279069767,Alto Repasse
ITAPEJARA D'OESTE,PR,622.3411927877947,Baixo Repasse
SUCUPIRA,TO,638.8030303030303,Baixo Repasse
ITAGUACU DA BAHIA,BA,689.5219110378913,Alto Repasse
BREJO GRANDE,SE,698.7100785340314,Alto Repasse
SANTA CRUZ DA BAIXA VERDE,PE,684.9789103690686,Alto Repasse
IMIGRANTE,RS,726.7096774193549,Alto Repasse
SABINOPOLIS,MG,648.35325762104,Baixo Repasse
SAO JULIAO,PI,649.7004149377593,Baixo Repasse
TIRADENTES DO SUL,RS,701.8819444444445,Alto Repasse
TUPANCI DO SUL,RS,632.6923076923077,Baixo Repasse
BOA ESPERANCA DO SUL,SP,645.6370192307693,Baixo Repasse
MATRIZ DE CAMARAGIBE,AL,691.2594797178131,Alto Repasse
OURO,SC,639.1875,Baixo Repasse
CAMPOS NOVOS PAULISTA,SP,690.0304761904762,Alto Repasse
AQUIDAUANA,MS,693.4061659795663,Alto Repasse
GUARAQUECABA,PR,683.5815217391304,Alto Repasse
APARECIDA DO RIO NEGRO,TO,694.7466666666667,Alto Repasse
CASTELO,ES,645.7139959432048,Baixo Repasse
TIMBAUBA DOS BATISTAS,RN,635.7090395480226,Baixo Repasse
IBICARE,SC,717.8780487804878,Alto Repasse
NOVO MUNDO,MT,684.0664395229983,Alto Repasse
RIO CRESPO,RO,696.5428571428571,Alto Repasse
JARDIM DO SERIDO,RN,624.1916666666667,Baixo Repasse
SANTO AMARO DA IMPERATRIZ,SC,650.2567783094099,Baixo Repasse
LADAINHA,MG,684.991246352647,Alto Repasse
BERIZAL,MG,683.3209756097561,Alto Repasse
OLHO-D'AGUA DO BORGES,RN,644.4880785413744,Baixo Repasse
SAO BERNARDO DO CAMPO,SP,635.8513867339022,Baixo Repasse
SANTO ANTONIO DO AVENTUREIRO,MG,648.6683673469388,Baixo Repasse
BOM SUCESSO,PR,633.4227272727272,Baixo Repasse
FREI INOCENCIO,MG,641.6238532110092,Baixo Repasse
VITORIA DO JARI,AP,754.2870370370371,Alto Repasse
SAO JOSE DO SUL,RS,628.5757575757576,Baixo Repasse
ACU,RN,641.8144936512853,Baixo Repasse
MARATA,RS,709.5957446808511,Alto Repasse
GIRAU DO PONCIANO,AL,697.8972602739726,Alto Repasse
CHAVES,PA,788.9788506729332,Alto Repasse
ARVOREZINHA,RS,694.0706150341686,Alto Repasse
PRUDENTE DE MORAIS,MG,647.6515892420538,Baixo Repasse
IBICUITINGA,CE,645.8008780181875,Baixo Repasse
AGUAI,SP,680.6225834797891,Alto Repasse
CATINGUEIRA,PB,645.3327571305099,Baixo Repasse
IRINEOPOLIS,SC,680.0248565965583,Alto Repasse
LUCRECIA,RN,640.7892898719441,Baixo Repasse
PINHEIRO PRETO,SC,619.7826086956521,Baixo Repasse
ALTO ARAGUAIA,MT,685.0665362035226,Alto Repasse
FRANCISCO DUMONT,MG,639.1201011378002,Baixo Repasse
AGUAS DE LINDOIA,SP,638.2473347547974,Baixo Repasse
PUREZA,RN,699.082005899705,Alto Repasse
ESPIRITO SANTO DO DOURADO,MG,735.0679094540612,Alto Repasse
SAO SEBASTIAO DO RIO VERDE,MG,650.6131386861314,Baixo Repasse
NATIVIDADE DA SERRA,SP,684.1736972704715,Alto Repasse
PEDRA DO ANTA,MG,617.984496124031,Baixo Repasse
ARACATI,CE,642.1347348798674,Baixo Repasse
JESUITAS,PR,629.3108504398826,Baixo Repasse
BOM JARDIM,PE,650.0760758719151,Baixo Repasse
QUIXERE,CE,642.6601403768009,Baixo Repasse
SAO JOAO DA PARAUNA,GO,685.7841726618705,Alto Repasse
BIAS FORTES,MG,640.2029914529915,Baixo Repasse
BALSAS,MA,686.3523288902202,Alto Repasse
ARROIO DO TIGRE,RS,641.8875638841567,Baixo Repasse
BARREIRINHAS,MA,713.0883651381373,Alto Repasse
MONTE ALEGRE DE GOIAS,GO,703.2396887159533,Alto Repasse
VIRGOLANDIA,MG,648.7777777777778,Baixo Repasse
BENTO GONCALVES,RS,644.9960496613995,Baixo Repasse
TRES PALMEIRAS,RS,705.8288043478261,Alto Repasse
SANTA TEREZINHA DO TOCANTINS,TO,627.4143426294821,Baixo Repasse
GUARACAI,SP,645.7146739130435,Baixo Repasse
MACAIBA,RN,650.9305418022351,Baixo Repasse
TUPIRAMA,TO,645.9587628865979,Baixo Repasse
COROATA,MA,699.7525242718447,Alto Repasse
ERVALIA,MG,683.5371148459384,Alto Repasse
BASTOS,SP,627.5114795918367,Baixo Repasse
NOVA LARANJEIRAS,PR,685.1317204301075,Alto Repasse
LUZINOPOLIS,TO,648.3767705382436,Baixo Repasse
PEROLANDIA,GO,623.6011560693642,Baixo Repasse
ITAUCU,GO,645.9468911917098,Baixo Repasse
SANTANA DO JACARE,MG,604.6693227091633,Baixo Repasse
NOVO SAO JOAQUIM,MT,685.046204620462,Alto Repasse
PARDINHO,SP,647.758152173913,Baixo Repasse
JAGUARACU,MG,608.8888888888889,Baixo Repasse
TAQUARUCU DO SUL,RS,636.952380952381,Baixo Repasse
FORTIM,CE,649.5623014472291,Baixo Repasse
PIRES DO RIO,GO,625.1970419847328,Baixo Repasse
BRASNORTE,MT,747.7951425554382,Alto Repasse
CONDE,BA,686.8845816523417,Alto Repasse
FLORIANOPOLIS,SC,633.9622763993076,Baixo Repasse
GRAJAU,MA,737.6176602756142,Alto Repasse
SANTA INES,MA,700.6333784968518,Alto Repasse
URUCUI,PI,689.1679869524697,Alto Repasse
PROFESSOR JAMIL,GO,638.5351089588378,Baixo Repasse
ARROIO DO SAL,RS,700.3005524861878,Alto Repasse
RIO GRANDE,RS,682.7087572977481,Alto Repasse
CAMPO LARGO DO PIAUI,PI,700.9125632765762,Alto Repasse
SAO SIMAO,GO,632.0696864111499,Baixo Repasse
DONA EUSEBIA,MG,626.3020134228188,Baixo Repasse
IJUI,RS,684.6925087108013,Alto Repasse
PIATA,BA,681.5318513603186,Alto Repasse
PARAPUA,SP,641.4788937409024,Baixo Repasse
FIGUEIROPOLIS D'OESTE,MT,713.0410958904109,Alto Repasse
MUTUM,MG,697.7802960222017,Alto Repasse
SAO BONIFACIO,SC,641.9538461538461,Baixo Repasse
CORONEL VIVIDA,PR,644.6641148325359,Baixo Repasse
PALMACIA,CE,647.8303532490188,Baixo Repasse
CACHOEIRA GRANDE,MA,689.7126954677975,Alto Repasse
CASCA,RS,695.5819209039548,Alto Repasse
JOAO LISBOA,MA,706.4675824175824,Alto Repasse
SANTO ANTONIO DE POSSE,SP,650.0525078369906,Baixo Repasse
PINHAL,RS,642.1153846153846,Baixo Repasse
FORTALEZA DE MINAS,MG,716.2214285714285,Alto Repasse
